# reference/golden_matrix.txt -- generated by tools/generate_golden_matrix.cpp
# Regenerate deliberately and review the diff: a change here is a change in
# what the engine considers the same state or the same event.
#
# case state_mode event_mode quotient steps states events causal pairs branchial fingerprint provenance
mixed-arity Full Full 0 3 4 3 2 2 0 11881471426580353216 oracle
mixed-arity Full Full 1 3 4 3 2 2 0 11881471426580353216 pin
arity3-growth None None 0 3 10 9 8 8 0 11052684978335218896 oracle
arity3-growth None Automatic 0 3 10 9 8 8 0 5514208251939821969 oracle
arity3-growth None Full 0 3 10 9 8 8 0 5514208251939821969 oracle
arity3-growth Automatic None 0 3 10 9 8 8 0 11052684978335218896 oracle
arity3-growth Automatic Automatic 0 3 10 9 8 8 0 5514208251939821969 oracle
arity3-growth Automatic Full 0 3 10 9 8 8 0 5514208251939821969 oracle
arity3-growth Full None 0 3 9 9 8 8 0 5514208251939821969 oracle
arity3-growth Full None 1 3 9 9 8 8 0 5514208251939821969 pin
arity3-growth Full Automatic 0 3 9 9 8 8 0 5514208251939821969 oracle
arity3-growth Full Automatic 1 3 9 9 8 8 0 5514208251939821969 pin
arity3-growth Full Full 0 3 9 9 8 8 0 5514208251939821969 oracle
arity3-growth Full Full 1 3 9 9 8 8 0 5514208251939821969 pin
disconnected-lhs None None 0 3 15 14 24 12 7 11024470953082940651 oracle
disconnected-lhs None Automatic 0 3 15 4 24 12 7 2136991116353750675 oracle
disconnected-lhs None Full 0 3 15 1 24 12 7 2136991116353750675 oracle
disconnected-lhs Automatic None 0 3 8 14 24 12 7 11024470953082940651 oracle
disconnected-lhs Automatic Automatic 0 3 8 4 24 12 7 2136991116353750675 oracle
disconnected-lhs Automatic Full 0 3 8 1 24 12 7 2136991116353750675 oracle
disconnected-lhs Full None 0 3 1 14 24 12 7 2136991116353750675 oracle
disconnected-lhs Full None 1 3 1 2 1 1 1 427398223270750135 pin
disconnected-lhs Full Automatic 0 3 1 4 24 12 7 2136991116353750675 oracle
disconnected-lhs Full Automatic 1 3 1 2 1 1 1 427398223270750135 pin
disconnected-lhs Full Full 0 3 1 1 24 12 7 2136991116353750675 oracle
disconnected-lhs Full Full 1 3 1 1 1 1 1 427398223270750135 pin
arity4-growth None None 0 3 10 9 8 8 0 16868989952839375379 oracle
arity4-growth None Automatic 0 3 10 9 8 8 0 7772341650847452600 oracle
arity4-growth None Full 0 3 10 9 8 8 0 7772341650847452600 oracle
arity4-growth Automatic None 0 3 10 9 8 8 0 16868989952839375379 oracle
arity4-growth Automatic Automatic 0 3 10 9 8 8 0 7772341650847452600 oracle
arity4-growth Automatic Full 0 3 10 9 8 8 0 7772341650847452600 oracle
arity4-growth Full None 0 3 9 9 8 8 0 7772341650847452600 oracle
arity4-growth Full None 1 3 9 9 8 8 0 7772341650847452600 pin
arity4-growth Full Automatic 0 3 9 9 8 8 0 7772341650847452600 oracle
arity4-growth Full Automatic 1 3 9 9 8 8 0 7772341650847452600 pin
arity4-growth Full Full 0 3 9 9 8 8 0 7772341650847452600 oracle
arity4-growth Full Full 1 3 9 9 8 8 0 7772341650847452600 pin
mixed-arity-lhs None None 0 3 2 1 0 0 0 5977109005836471376 oracle
mixed-arity-lhs None Automatic 0 3 2 1 0 0 0 10360478112637143749 oracle
mixed-arity-lhs None Full 0 3 2 1 0 0 0 10360478112637143749 oracle
mixed-arity-lhs Automatic None 0 3 2 1 0 0 0 5977109005836471376 oracle
mixed-arity-lhs Automatic Automatic 0 3 2 1 0 0 0 10360478112637143749 oracle
mixed-arity-lhs Automatic Full 0 3 2 1 0 0 0 10360478112637143749 oracle
mixed-arity-lhs Full None 0 3 2 1 0 0 0 10360478112637143749 oracle
mixed-arity-lhs Full None 1 3 2 1 0 0 0 10360478112637143749 pin
mixed-arity-lhs Full Automatic 0 3 2 1 0 0 0 10360478112637143749 oracle
mixed-arity-lhs Full Automatic 1 3 2 1 0 0 0 10360478112637143749 pin
mixed-arity-lhs Full Full 0 3 2 1 0 0 0 10360478112637143749 oracle
mixed-arity-lhs Full Full 1 3 2 1 0 0 0 10360478112637143749 pin
mixed-arity-init None None 0 3 5 4 0 0 0 3199588748412757025 oracle
mixed-arity-init None Automatic 0 3 5 4 0 0 0 9135985774064404732 oracle
mixed-arity-init None Full 0 3 5 4 0 0 0 9135985774064404732 oracle
mixed-arity-init Automatic None 0 3 5 4 0 0 0 3199588748412757025 oracle
mixed-arity-init Automatic Automatic 0 3 5 4 0 0 0 9135985774064404732 oracle
mixed-arity-init Automatic Full 0 3 5 4 0 0 0 9135985774064404732 oracle
mixed-arity-init Full None 0 3 4 4 0 0 0 9135985774064404732 oracle
mixed-arity-init Full None 1 3 4 4 0 0 0 9135985774064404732 pin
mixed-arity-init Full Automatic 0 3 4 4 0 0 0 9135985774064404732 oracle
mixed-arity-init Full Automatic 1 3 4 4 0 0 0 9135985774064404732 pin
mixed-arity-init Full Full 0 3 4 4 0 0 0 9135985774064404732 oracle
mixed-arity-init Full Full 1 3 4 4 0 0 0 9135985774064404732 pin
arity3-to-2 None None 0 3 5 4 0 0 0 11512485767870208566 oracle
arity3-to-2 None Automatic 0 3 5 4 0 0 0 5246910302719129736 oracle
arity3-to-2 None Full 0 3 5 4 0 0 0 5246910302719129736 oracle
arity3-to-2 Automatic None 0 3 5 4 0 0 0 11512485767870208566 oracle
arity3-to-2 Automatic Automatic 0 3 5 4 0 0 0 5246910302719129736 oracle
arity3-to-2 Automatic Full 0 3 5 4 0 0 0 5246910302719129736 oracle
arity3-to-2 Full None 0 3 4 4 0 0 0 5246910302719129736 oracle
arity3-to-2 Full None 1 3 4 4 0 0 0 5246910302719129736 pin
arity3-to-2 Full Automatic 0 3 4 4 0 0 0 5246910302719129736 oracle
arity3-to-2 Full Automatic 1 3 4 4 0 0 0 5246910302719129736 pin
arity3-to-2 Full Full 0 3 4 4 0 0 0 5246910302719129736 oracle
arity3-to-2 Full Full 1 3 4 4 0 0 0 5246910302719129736 pin
arity1-with-binary None None 0 3 2 1 0 0 0 15667012214386267841 oracle
arity1-with-binary None Automatic 0 3 2 1 0 0 0 142906470849220759 oracle
arity1-with-binary None Full 0 3 2 1 0 0 0 142906470849220759 oracle
arity1-with-binary Automatic None 0 3 2 1 0 0 0 15667012214386267841 oracle
arity1-with-binary Automatic Automatic 0 3 2 1 0 0 0 142906470849220759 oracle
arity1-with-binary Automatic Full 0 3 2 1 0 0 0 142906470849220759 oracle
arity1-with-binary Full None 0 3 2 1 0 0 0 142906470849220759 oracle
arity1-with-binary Full None 1 3 2 1 0 0 0 142906470849220759 pin
arity1-with-binary Full Automatic 0 3 2 1 0 0 0 142906470849220759 oracle
arity1-with-binary Full Automatic 1 3 2 1 0 0 0 142906470849220759 pin
arity1-with-binary Full Full 0 3 2 1 0 0 0 142906470849220759 oracle
arity1-with-binary Full Full 1 3 2 1 0 0 0 142906470849220759 pin
multi-rule None None 0 2 12 11 6 6 4 2928298468074471957 oracle
multi-rule None Automatic 0 2 12 11 6 6 4 2775384316420159430 oracle
multi-rule None Full 0 2 12 11 6 6 4 2775384316420159430 oracle
multi-rule Automatic None 0 2 12 11 6 6 4 2928298468074471957 oracle
multi-rule Automatic Automatic 0 2 12 11 6 6 4 2775384316420159430 oracle
multi-rule Automatic Full 0 2 12 11 6 6 4 2775384316420159430 oracle
multi-rule Full None 0 2 10 11 6 6 4 2775384316420159430 oracle
multi-rule Full None 1 2 10 11 6 6 4 2775384316420159430 pin
multi-rule Full Automatic 0 2 10 11 6 6 4 2775384316420159430 oracle
multi-rule Full Automatic 1 2 10 11 6 6 4 2775384316420159430 pin
multi-rule Full Full 0 2 10 11 6 6 4 2775384316420159430 oracle
multi-rule Full Full 1 2 10 11 6 6 4 2775384316420159430 pin
